"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.798279,0.929899,0.721409,0.929899,"64,502","1,243,880","PCOIN",0.164879697449138
"2018-01-09",0.812931,0.8919,0.73281,0.797234,"67,355","1,266,710","PCOIN",-0.0193091418582881
"2018-01-08",0.866685,0.942347,0.741914,0.815001,"71,749","1,337,860","PCOIN",-0.0596341231243186
"2018-01-07",0.722679,0.945802,0.708354,0.867899,"101,110","1,104,760","PCOIN",0.200946755059992
"2018-01-06",0.781263,0.848026,0.663982,0.72321,"24,703","1,182,590","PCOIN",-0.0743066035381171
"2018-01-05",0.766649,0.808141,0.660638,0.780641,"20,911","1,148,970","PCOIN",0.0182508553457971
"2018-01-04",0.836592,0.837991,0.718214,0.759211,"50,016","1,241,000","PCOIN",-0.0924955055749996
"2018-01-03",0.639272,0.833499,0.638882,0.83143,"125,105","938,787","PCOIN",0.300588794754033
"2018-01-02",0.591227,0.746052,0.554136,0.64155,"28,496","859,230","PCOIN",0.0851162074803756
"2018-01-01",0.605531,0.605531,0.50381,0.591273,"33,528","870,893","PCOIN",-0.0235462759132067
"2017-12-31",0.500314,0.777516,0.456172,0.603197,"40,296","712,050","PCOIN",0.205636860051887
"2017-12-30",0.471113,0.50738,0.401235,0.505777,"21,910","663,380","PCOIN",0.0735789502730768
"2017-12-29",0.520976,0.554148,0.466174,0.472301,"13,882","725,730","PCOIN",-0.0934304075427658
"2017-12-28",0.590071,0.71079,0.479095,0.515638,"22,245","813,127","PCOIN",-0.126142447264821
"2017-12-27",0.546376,0.621724,0.509508,0.591311,"17,440","744,790","PCOIN",0.0822418993513625
"2017-12-26",0.581006,0.623292,0.478883,0.545981,"13,534","783,150","PCOIN",-0.0602833705676017
"2017-12-25",0.587847,0.599411,0.439981,0.5816,"25,452","783,460","PCOIN",-0.010626914826477
"2017-12-24",0.393059,0.730709,0.371177,0.581805,"38,656","517,956","PCOIN",0.480197629363531
"2017-12-23",0.366253,0.484106,0.364528,0.388766,"7,878","477,082","PCOIN",0.0614684384837803
"2017-12-22",0.471862,0.489646,0.328619,0.362826,"8,904","607,558","PCOIN",-0.23107603494242
"2017-12-21",0.509991,0.606692,0.45194,0.470232,"12,525","648,955","PCOIN",-0.0779601992976346
"2017-12-20",0.604851,0.655593,0.492738,0.50866,"19,413","-","PCOIN",-0.159032555125147
"2017-12-19",0.625328,0.794163,0.572634,0.647598,"31,846","-","PCOIN",0.0356133101348413
"2017-12-18",0.614517,0.628006,0.494885,0.584201,"11,853","-","PCOIN",-0.0493330534387169
"2017-12-17",0.666796,0.729369,0.612658,0.612661,"6,254","-","PCOIN",-0.0811867497705446
"2017-12-16",0.652933,0.774822,0.638513,0.684636,"16,094","-","PCOIN",0.0485547521721219
"2017-12-15",0.585328,0.899031,0.554038,0.652018,"36,365","-","PCOIN",0.113936117868956
"2017-12-14",0.587225,0.666742,0.572798,0.585568,"24,776","-","PCOIN",-0.00282174634935505
"2017-12-13",0.830458,0.874261,0.584542,0.589116,"16,986","-","PCOIN",-0.290613131549097
"2017-12-12",0.875843,1.04,0.755543,0.829764,"63,774","-","PCOIN",-0.0526110273188232
"2017-12-11",0.607511,1.01,0.605883,0.87304,"39,428","-","PCOIN",0.437076859513655
